Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Confirmed last week,1 week change,1 week % increase,WHO Region
Afghanistan,20917,369.0,2171,18377.0,575,12,296,1.76,10.38,17.0,15750,5167,32.81,Eastern Mediterranean
Albania,1263,34.0,945,284.0,17,0,7,2.69,74.82,3.6,1143,120,10.5,Europe
Algeria,10265,715.0,6799,2751.0,111,8,82,6.97,66.23,10.52,9513,752,7.9,Africa
Andorra,852,51.0,751,50.0,0,0,7,5.99,88.15,6.79,765,87,11.37,Europe
Angola,92,4.0,38,50.0,1,0,14,4.35,41.3,10.53,86,6,6.98,Africa
Antigua and Barbuda,26,3.0,20,3.0,0,0,0,11.54,76.92,15.0,26,0,0.0,Americas
Argentina,23620,693.0,7305,15622.0,826,29,396,2.93,30.93,9.49,17415,6205,35.63,Americas
Armenia,13325,211.0,4099,9015.0,195,11,85,1.58,30.76,5.15,9492,3833,40.38,Europe
Australia,7267,102.0,6720,445.0,2,0,14,1.4,92.47,1.52,7221,46,0.64,Western Pacific
Austria,16968,672.0,15839,457.0,66,0,46,3.96,93.35,4.24,16733,235,1.4,Europe
Azerbaijan,7876,93.0,4377,3406.0,323,5,228,1.18,55.57,2.12,5662,2214,39.1,Europe
Bahamas,103,11.0,64,28.0,0,0,2,10.68,62.14,17.19,102,1,0.98,Americas
Bahrain,15417,27.0,10326,5064.0,654,1,858,0.18,66.98,0.26,11871,3546,29.87,Eastern Mediterranean
Bangladesh,68504,930.0,14560,53014.0,2735,42,657,1.36,21.25,6.39,49534,18970,38.3,South-East Asia
Barbados,92,7.0,81,4.0,0,0,0,7.61,88.04,8.64,92,0,0.0,Americas
Belarus,49453,276.0,23880,25297.0,823,7,233,0.56,48.29,1.16,43403,6050,13.94,Europe
Belgium,59348,9606.0,16315,33427.0,122,11,24,16.19,27.49,58.88,58517,831,1.42,Europe
